Annee,Score,Metascore,Genre,Revenu,Votes
2015,8,81,1,936.66,758028
2009,7.8,83,1,760.51,1007157
2018,7.4,88,1,700.06,408556
2018,8.6,68,1,678.82,515214
1997,7.8,75,7,659.33,916429
2015,7,59,1,652.27,517994
2012,8.1,69,1,623.36,1130818
2017,7.2,85,1,620.18,423548
2018,8,80,3,607.94,121223
2008,9,84,1,534.86,1980200
2016,7.8,65,1,532.18,447193
2017,7.2,65,8,504.01,219689
2016,7.3,77,3,486.3,200937
1999,6.5,51,1,474.54,631142
2015,7.4,66,1,459.01,610673
2012,8.4,78,1,448.14,1338413
2004,7.2,75,3,436.47,364445
1982,7.9,91,8,435.11,325439
2013,7.5,76,1,424.67,560434
2006,7.3,53,1,423.32,596150
2018,6.3,51,1,416.77,167983
2010,8.3,92,3,415,653627
2017,7.5,76,1,412.56,443735
2013,7.2,62,1,409.01,654177
2016,7.8,75,1,408.08,529435
2012,7.2,68,2,408.01,777498
2017,7,58,1,404.52,212414
2002,7.3,73,1,403.71,619601
1993,8.1,68,2,402.45,751094
2009,6,35,1,402.11,356457
2013,7.5,74,3,400.74,496031
2017,7.7,67,1,389.81,419351
2011,8.1,87,2,381.01,662998
2003,8.1,90,3,380.84,833650
2005,7.6,68,1,380.26,616951
2003,8.9,94,1,377.85,1431887
2004,7.3,83,1,373.59,481570
2004,7.2,47,7,370.78,196667
2016,6.5,61,3,368.38,151862
2013,7.4,62,3,368.06,332082
2016,7.4,77,2,364,231244
2016,8,65,1,363.07,771725
2015,8.2,94,3,356.46,504101
2015,7.2,67,1,353.01,326159
2011,6.3,42,1,352.39,358091
2014,7.3,72,1,350.13,386975
2002,8.7,87,2,342.55,1294351
2016,8,78,3,341.27,358823
2014,6.7,64,1,337.14,364896
2007,6.2,59,1,336.53,444253
2015,6.4,56,3,336.05,184266
2017,7.5,73,1,334.2,366656
2010,6.5,53,2,334.19,347838
2014,8.1,76,1,333.18,883295
2016,6.5,44,1,330.36,550363
1994,8.8,82,7,330.25,1532024
2017,7.4,69,11,327.48,315870
2016,6.1,40,1,325.1,499494
1977,8.6,90,1,322.74,1080484
2007,6.1,58,3,320.71,244289
2007,7.1,61,1,319.07,558143
2018,7.8,66,1,318.49,293332
2008,7.9,79,1,318.41,816146
2001,7.6,64,2,317.58,541278
2008,6.2,65,1,317.1,378937
2001,8.8,92,2,315.54,1448561
2017,7.9,74,1,315.06,398937
1994,8.5,83,3,312.9,792564
2010,7,57,1,312.43,618858
2002,6.6,54,1,310.68,553222
2007,7.1,50,1,309.42,540769
1983,8.3,58,1,309.13,829263
1996,7,59,1,306.17,482456
2003,8,63,1,305.41,937648
2012,7.8,81,1,304.36,578739
2012,7.9,58,2,303,704137
2009,7.6,78,2,301.96,394848
2010,5,58,2,300.53,205237
2009,4.7,44,2,296.62,242143
2010,7.7,65,2,295.98,401913
1999,8.1,64,7,293.51,817611
2009,8.3,88,3,293,808692
2010,8.8,74,1,292.58,1760209
2012,5.5,52,2,292.3,207984
2007,7.5,71,2,292,429727
2005,6.9,75,2,291.71,328110
2013,7.1,55,1,291.05,626172
1980,8.8,82,1,290.48,1010230
2005,7.7,81,2,290.01,463911
2001,8.1,78,3,289.92,708404
1990,7.5,63,5,285.76,381633
2015,6.6,65,1,281.72,237736
2003,7.2,62,1,281.49,466144
2011,4.9,45,2,281.29,202248
2004,6.3,41,5,279.26,232974
2009,7.7,73,5,277.32,650821
2013,7.7,96,7,274.09,680946
2016,7.1,59,3,270.4,105265
2013,7.3,65,3,268.49,279625
2001,7.9,84,3,267.67,538286
2017,6.3,49,3,264.62,81960
2012,7,66,1,262.03,509946
2002,7.4,63,2,261.99,467717
2004,8,90,3,261.44,571155
2000,6.1,46,5,260.04,168685
1975,8,87,2,260,493026
2014,7.8,70,1,259.77,620901
2013,7.8,66,2,258.37,550643
2014,7.8,83,3,257.76,290865
2009,8,82,1,257.73,548626
2007,7.2,65,7,256.39,614342
2009,7.7,53,4,255.96,257963
2014,7.4,59,2,255.12,423364
2011,6.5,44,5,254.46,420716
2010,7.7,72,3,251.51,447381
1989,7.6,69,1,251.19,303963
2006,6.4,48,2,250.86,275202
1997,7.3,71,2,250.69,459934
2004,7.9,82,2,249.36,463525
2016,7.6,81,3,248.76,205922
1981,8.5,85,1,248.16,778688
1999,7.9,88,3,245.85,448889
2014,5.7,32,1,245.44,275978
2006,7.1,73,3,244.08,312594
2003,6.7,46,5,242.83,336276
1996,6.3,68,1,241.72,158565
2002,6.6,62,5,241.44,111562
2014,7,56,1,241.41,293827
2011,6.6,45,1,241.07,433283
2013,7.1,61,1,238.68,338606
1984,7.8,71,1,238.63,313186
2010,6.3,58,3,238.37,160352
2012,7.1,69,3,237.28,323424
2013,6.3,44,2,234.91,189237
1984,7.3,64,1,234.76,144409
2006,6.7,58,1,234.36,437480
2005,6.5,73,2,234.28,376642
2016,7.4,66,2,234.04,320931
2014,8,75,1,233.92,598473
2000,7.8,73,2,233.63,456944
1973,8,82,11,232.91,321334
2016,7.5,72,1,232.64,456589
1997,6.5,59,1,229.09,330433
2017,6.5,45,1,229.02,291354
2013,7.7,72,1,228.78,438358
2015,8,80,2,228.43,641508
2002,6.7,59,7,227.97,305406
2008,6.4,49,1,227.95,397877
2007,8,85,1,227.47,569967
2017,8.1,77,1,226.28,516939
2001,6.6,48,1,226.16,180294
2017,6.7,56,1,226.01,169076
